"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.171466625E0,-1.807678121E0,-5.532277016E0,6.602067804E-1,5.857445020E0
2.181417625E0,-2.080656846E0,-5.975899420E0,2.143646269E-1,6.331386814E0
2.191368625E0,-9.297181061E-1,-3.320211015E0,-5.862441802E-1,3.497407494E0
2.201320625E0,-3.813805479E-1,3.356442118E-1,-1.302218195E0,1.397812715E0
2.211271625E0,-5.952345666E-1,5.656789380E-1,-2.190700275E0,2.339543661E0
2.221223625E0,-6.787541485E-1,2.038310140E-1,-2.792814968E0,2.881331241E0
2.231174625E0,-5.412074634E-1,2.927642405E-1,-2.628823957E0,2.699876260E0
2.241125625E0,-1.373893949E-1,5.348646963E-1,-1.937891228E0,2.015038089E0
2.251077625E0,1.111517689E-1,6.544040036E-1,-1.459052213E0,1.602945001E0
2.261028625E0,7.036685497E-2,5.753303522E-1,-1.461937230E0,1.572646487E0
2.270980625E0,1.570415944E-2,4.485533613E-1,-1.409419878E0,1.479158926E0
2.280931625E0,2.033068112E-1,4.367378926E-1,-1.225422107E0,1.316712948E0
2.290883625E0,5.212310359E-1,4.229519123E-1,-1.578090999E0,1.714917291E0
2.300834625E0,8.542451701E-1,3.513135803E-1,-1.880461046E0,2.095063194E0
2.310785625E0,1.465371884E0,6.244317609E-1,-1.857055811E0,2.446607052E0
2.320737625E0,1.072793334E0,5.216499889E-1,-1.455528681E0,1.881905415E0
2.330688625E0,5.321688375E-1,4.201698071E-1,-2.064604338E-1,7.087822297E-1
2.340640625E0,6.643565494E-1,8.822419310E-1,1.050158616E0,1.523992640E0
2.350591625E0,7.806643930E-1,1.338407782E0,2.457691158E0,2.905343029E0
2.360542625E0,6.353005654E-1,1.398163403E0,3.563261644E0,3.880116139E0
2.370494625E0,4.775464877E-1,1.400573625E0,3.633086754E0,3.922878597E0
2.380445625E0,5.190254661E-1,1.679537267E0,2.909268115E0,3.399128392E0
2.390397625E0,7.834681329E-1,2.217498064E0,1.412541121E0,2.743427127E0
2.400348625E0,1.131768935E0,2.783899133E0,-1.639197472E-2,3.005206150E0
2.410300625E0,1.393287702E0,2.237038874E0,-8.288649651E-1,2.762717987E0
2.420251625E0,1.567880299E0,1.788076792E0,-9.438259026E-1,2.558568854E0
2.430202625E0,1.650116709E0,1.371982495E0,-5.867072797E-1,2.224735164E0
2.440154625E0,1.501934816E0,6.218876374E-1,-1.500734309E-1,1.632505577E0
2.450105625E0,1.295425485E0,1.636518717E-2,1.526708007E-2,1.295618806E0
2.460057625E0,1.142787428E0,-3.817693877E-1,-2.884980389E-1,1.238927799E0
2.470008625E0,1.140487134E0,-6.037027967E-1,-6.462062073E-1,1.443173736E0
2.479959625E0,9.508467275E-1,-1.058821412E0,-2.366987614E-1,1.442649848E0
2.489911625E0,4.668016443E-1,-1.601813153E0,2.891084882E-1,1.693308262E0
2.499862625E0,-2.658246562E-1,-1.836906306E0,1.921488619E-1,1.865960532E0
2.509814625E0,-1.171867386E0,-1.580073205E0,2.349972216E-1,1.981193630E0
2.519765625E0,-1.591244018E0,-1.204123551E0,5.617619248E-1,2.073052704E0
2.529716625E0,-1.372442963E0,-7.896167725E-1,4.452537775E-1,1.644793379E0
2.539668625E0,-1.064607816E0,-8.591869444E-1,-3.068676881E-1,1.402055557E0
2.549619625E0,-1.017141874E0,-6.439678931E-1,-5.901840341E-1,1.340742120E0
2.559571625E0,-8.875398007E-1,-4.674615026E-2,-7.097794747E-1,1.137408899E0
2.569522625E0,-5.596846649E-1,5.834766930E-1,-9.972305696E-2,8.146389774E-1
2.579473625E0,-3.381535444E-1,1.022113177E0,1.443432327E-1,1.086231161E0
2.589425625E0,-2.470451537E-1,1.274059174E0,7.267925334E-1,1.487442595E0
2.599376625E0,-2.769264722E-1,1.021716735E0,1.324952170E0,1.695904364E0
2.609328625E0,-4.804882219E-1,4.867479587E-1,1.457494515E0,1.609994649E0
2.619279625E0,-5.712507498E-1,-1.784780717E-1,1.200185452E0,1.341128987E0
2.629230625E0,-6.419725308E-1,-6.273308104E-1,8.441648626E-1,1.232187888E0
2.639182625E0,-7.391295737E-1,-7.949985498E-1,8.094768405E-1,1.354100431E0
2.649133625E0,-7.671076235E-1,-7.616191345E-1,5.465895331E-1,1.211312482E0
2.659085625E0,-7.284364781E-1,-4.554127300E-1,1.637115133E-1,8.745409749E-1
2.669036625E0,-6.679534641E-1,-3.383158046E-1,-3.910559356E-1,8.447154306E-1
2.678987625E0,-6.215189704E-1,-3.811109912E-1,-9.375016272E-1,1.187619770E0
2.688939625E0,-5.567983331E-1,-3.242456496E-1,-1.103073725E0,1.277470652E0
2.698890625E0,-4.474327424E-1,-1.849287200E-1,-1.129347603E0,1.228747614E0
2.708842625E0,-3.136525413E-1,-2.929273778E-1,-7.845583463E-1,8.942685078E-1
2.718793625E0,-1.774758589E-1,-5.022857648E-1,-3.006603205E-1,6.117068729E-1
2.728745625E0,-1.360170534E-1,-2.848319077E-1,8.024715107E-2,3.256830664E-1
2.738696625E0,-1.307934433E-1,-7.654239178E-2,3.421299799E-1,3.741905741E-1
2.748647625E0,-1.668631625E-1,-1.557797652E-1,2.782854016E-1,3.599352928E-1
2.758598625E0,-2.372308946E-1,-4.796038306E-1,2.218398901E-1,5.792333454E-1
2.768549625E0,-5.415422165E-1,-5.994799376E-1,1.613176632E-1,8.238128163E-1
2.778501625E0,-9.409155241E-1,-5.803098410E-1,4.678943792E-2,1.106467707E0
2.788452625E0,-1.070941082E0,-4.947709233E-1,6.738327663E-2,1.181631742E0
2.798403625E0,-1.173442041E0,-5.662016791E-1,-2.337038358E-1,1.323694847E0
2.808355625E0,-1.193854086E0,-5.733680266E-1,-1.014492281E-1,1.328281002E0
2.818306625E0,-1.079609725E0,-3.993309152E-1,2.274017251E-1,1.173343037E0
2.828258625E0,-8.322075990E-1,-2.417057687E-1,4.184934103E-1,9.623553922E-1
2.838209625E0,-4.611393468E-1,-2.758552623E-1,4.478207052E-1,6.994919634E-1
2.848160625E0,-1.266713025E-1,-3.513901788E-1,5.057385457E-1,6.287226361E-1
2.858112625E0,1.486436771E-1,-5.708759433E-1,5.142649555E-1,7.825999807E-1
2.868063625E0,2.665099499E-1,-1.008557577E0,5.706052172E-1,1.189035850E0
2.878015625E0,2.853480707E-1,-1.117183641E0,5.853483868E-1,1.293118534E0
2.887966625E0,2.701305458E-1,-1.024826869E0,3.052860528E-1,1.102923478E0
2.897917625E0,1.371894202E-1,-7.820726949E-1,-4.222975175E-2,7.951364594E-1
2.907869625E0,-7.195130423E-2,-3.838539201E-1,-6.032315111E-1,7.186160854E-1
2.917820625E0,-3.658564827E-1,-1.921956396E-1,-1.194522423E0,1.263991277E0
2.927772625E0,-5.424893193E-1,-3.636517900E-1,-1.691753855E0,1.813441036E0
2.937723625E0,-6.827467735E-1,-6.124256730E-1,-2.052044080E0,2.247686204E0
2.947674625E0,-7.022144933E-1,-7.673160768E-1,-2.302241176E0,2.526300376E0
2.957626625E0,-6.734732357E-1,-7.123937649E-1,-2.379013948E0,2.573087336E0
2.967577625E0,-6.077912430E-1,-5.784001404E-1,-2.263627333E0,2.414117980E0
2.977529625E0,-5.811158797E-1,-3.132727647E-1,-2.027201600E0,2.131990107E0
2.987480625E0,-6.827572254E-1,-1.777881002E-1,-1.857815949E0,1.987271028E0
2.997431625E0,-9.146829412E-1,2.064599222E-1,-1.628529666E0,1.879196492E0
3.007383625E0,-1.693172243E0,1.983377303E0,-1.388921294E0,2.954609980E0
3.017334625E0,-2.022555403E0,1.706904575E0,-1.044242549E0,2.845117939E0
3.027286625E0,-2.238586047E0,1.223534553E0,-6.458565438E-1,2.631622117E0
3.037237625E0,-2.488843077E0,8.993280798E-1,-3.041651416E-1,2.663765622E0
3.047188625E0,-2.630818735E0,7.612951988E-1,-1.710257953E-1,2.744089543E0
3.057140625E0,-2.704309173E0,6.387878448E-1,-2.538369870E-1,2.790299487E0
3.067091625E0,-2.637242779E0,5.407288688E-1,-3.054907236E-1,2.709384019E0
3.077043625E0,-2.439085025E0,4.889231229E-1,-2.915848571E-1,2.504636363E0
3.086994625E0,-2.138308345E0,5.041369933E-1,-2.717458391E-1,2.213676239E0
