"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.500837500E0,-3.692482478E0,9.814615792E-1,1.759132490E0,4.206214545E0
1.510789500E0,-3.118193223E0,7.897068197E-1,1.400986438E0,3.508493813E0
1.520740500E0,-2.623630461E0,5.272276479E-1,1.001163188E0,2.857224792E0
1.530691500E0,-2.149340580E0,2.243459702E-1,5.929333949E-1,2.240885105E0
1.540642500E0,-1.734862452E0,-8.586460769E-2,2.434532091E-1,1.753964060E0
1.550594500E0,-1.382369488E0,-3.900046062E-1,-1.246392488E-2,1.436385862E0
1.560545500E0,-1.100711157E0,-6.253445113E-1,-1.113333249E-1,1.270832766E0
1.570496500E0,-8.610533756E-1,-8.231546474E-1,-1.588419521E-1,1.201760065E0
1.580448500E0,-9.357766986E-1,-1.301481446E0,-3.506578150E-1,1.640881741E0
1.590399500E0,-9.609246960E-1,-1.663135242E0,9.944505841E-2,1.923352393E0
1.600350500E0,-1.010384539E0,-2.093800217E0,3.932851866E-1,2.357869696E0
1.610302500E0,-9.199646580E-1,-2.484745640E0,7.273307696E-1,2.747600029E0
1.620253500E0,-7.834678406E-1,-2.558147492E0,7.548261318E-1,2.779874627E0
1.630204500E0,-3.180075476E-1,-2.468095109E0,1.607338772E0,2.962458471E0
1.640155500E0,-1.142689195E-1,-2.364367842E0,1.506264094E0,2.805730600E0
1.650107500E0,-1.754047751E-2,-2.146806396E0,1.265859624E0,2.492285288E0
1.660058500E0,-5.812132359E-2,-1.835809368E0,1.049776646E0,2.115562604E0
1.670009500E0,2.864112407E-2,-1.896459612E0,1.080226606E0,2.182720526E0
1.679961500E0,-4.261906850E-1,-1.370172781E0,7.942840201E-1,1.640091173E0
1.689912500E0,-6.051017430E-1,-1.271895704E0,7.348093584E-1,1.588650873E0
1.699863500E0,-6.165491295E-1,-1.139330555E0,8.416552377E-1,1.544859373E0
1.709815500E0,-5.324755239E-1,-9.719212621E-1,8.992924118E-1,1.427195840E0
1.719766500E0,-4.270075411E-1,-1.048013418E0,9.202698827E-1,1.458617229E0
1.729717500E0,-1.005598301E-1,-8.796931297E-1,1.046491973E0,1.370809152E0
1.739668500E0,2.473418999E-1,-9.245968223E-1,1.214559077E0,1.546354116E0
1.749620500E0,6.469581592E-1,-9.936606252E-1,1.210264882E0,1.694301444E0
1.759571500E0,1.019702370E0,-1.026084021E0,1.119131348E0,1.828960446E0
1.769522500E0,1.347753387E0,-9.570108622E-1,1.033077291E0,1.949245411E0
1.779474500E0,1.573985084E0,-8.943667173E-1,1.012886855E0,2.074430199E0
1.789425500E0,1.682719322E0,-9.703811055E-1,9.950259501E-1,2.182489507E0
1.799376500E0,1.895023536E0,-7.787965000E-1,1.154736798E0,2.351819565E0
1.809328500E0,2.083391588E0,-7.077914214E-1,1.179152140E0,2.496375167E0
1.819279500E0,2.289824029E0,-6.609569782E-1,1.149265266E0,2.645934402E0
1.829230500E0,2.481580542E0,-6.039893103E-1,1.154492677E0,2.802837565E0
1.839181500E0,2.574176465E0,-6.705651230E-1,1.122939055E0,2.887392280E0
1.849133500E0,2.845803021E0,-5.916148478E-1,1.049095738E0,3.090178770E0
1.859084500E0,3.022601772E0,-6.628503066E-1,8.827649644E-1,3.217882220E0
1.869035500E0,3.100779630E0,-7.190344477E-1,8.465958425E-1,3.293716650E0
1.878987500E0,3.295073835E0,-8.217033684E-1,7.094055453E-1,3.469288722E0
1.888938500E0,3.417591714E0,-9.769340801E-1,5.025363180E-1,3.589829533E0
1.898889500E0,3.558521306E0,-1.106782029E0,2.293947485E-1,3.733719633E0
1.908840500E0,3.534319680E0,-1.206686971E0,5.206039220E-2,3.734999241E0
1.918792500E0,3.476185493E0,-1.354115158E0,-8.027963966E-2,3.731479366E0
1.928743500E0,3.463139770E0,-1.489692208E0,-1.933522189E-1,3.774904638E0
1.938694500E0,3.540825292E0,-1.557685971E0,-2.686020836E-1,3.877625100E0
1.948646500E0,3.670433505E0,-1.596841850E0,-3.568731129E-1,4.018624694E0
1.958597500E0,3.715565239E0,-1.722964538E0,-5.356070003E-1,4.130485045E0
1.968548500E0,3.656503099E0,-1.900390695E0,-7.252816129E-1,4.184200416E0
1.978500500E0,3.638026482E0,-1.881244572E0,-7.244439992E-1,4.159223116E0
1.988451500E0,3.066441856E0,-2.422740596E0,-1.236609804E0,4.099017133E0
1.998402500E0,2.612753470E0,-2.829141380E0,-1.662136246E0,4.194427081E0
2.008353500E0,2.254172385E0,-3.255565369E0,-1.958815782E0,4.417800163E0
2.018305500E0,1.978397230E0,-3.535769790E0,-2.184944860E0,4.603227960E0
2.028256500E0,1.926435948E0,-3.500283038E0,-2.152756231E0,4.538446452E0
2.038207500E0,1.792874433E0,-3.668034977E0,-2.195412253E0,4.635592119E0
2.048159500E0,1.876127089E0,-3.523152668E0,-2.009228721E0,4.468719909E0
2.058110500E0,2.017045571E0,-3.267908256E0,-1.752450584E0,4.221229709E0
2.068061500E0,2.141782469E0,-3.045245699E0,-1.513316714E0,4.018815869E0
2.078012500E0,2.389281074E0,-2.671416830E0,-1.041272456E0,3.732208496E0
2.087964500E0,2.592970585E0,-1.976707969E0,-3.819012424E-1,3.282791405E0
2.097915500E0,2.505488638E0,-1.449114286E0,9.580925971E-2,2.895960107E0
2.107866500E0,2.117422968E0,-1.151104508E0,2.177675602E-1,2.419905850E0
2.117818500E0,1.439826568E0,-7.465064210E-1,-1.650873631E-1,1.630222752E0
2.127769500E0,4.919806319E-1,-4.881197155E-1,-3.451971003E-1,7.742524375E-1
2.137720500E0,-1.533981943E-1,-1.487373787E-1,2.046926013E-1,2.958933505E-1
2.147672500E0,-5.022267079E-1,2.751495034E-1,7.386819693E-1,9.346603486E-1
2.157623500E0,-1.058204530E0,-8.505710721E-2,1.727673885E-1,1.075583614E0
2.167574500E0,-1.507131529E0,-2.540094799E-1,-3.071451750E-1,1.558943366E0
2.177525500E0,-1.578785941E0,3.354839981E-1,-1.354177138E-1,1.619707540E0
2.187477000E0,-1.835417312E0,3.970703816E-1,-1.939492196E-2,1.877977039E0
2.197428000E0,-2.167614590E0,3.643885392E-1,-2.681416154E-1,2.214324264E0
2.207379000E0,-2.259445989E0,2.137321043E-1,-6.561473510E-1,2.362478981E0
2.217331000E0,-1.976889818E0,6.796370780E-1,-3.639169613E-1,2.121894310E0
2.227282000E0,-1.623000831E0,8.200579619E-1,-1.297321737E-1,1.823035160E0
2.237233000E0,-1.469427805E0,4.335558379E-1,-5.764115024E-1,1.636899190E0
2.247184000E0,-1.218636048E0,1.873272479E-1,-8.185087422E-1,1.479906036E0
2.257136000E0,-7.284607440E-1,3.723816830E-1,-5.748330465E-1,9.998780949E-1
2.267087000E0,-5.612259910E-1,-4.629299104E-2,-5.770582044E-1,8.062963631E-1
2.277038000E0,-3.735543421E-1,-2.223035377E-1,-3.492410347E-1,5.576118809E-1
2.286990000E0,3.033769369E-2,7.268556833E-2,2.472685173E-1,2.595097053E-1
2.296941000E0,2.637670210E-1,2.423343444E-1,5.877548084E-1,6.882984023E-1
2.306892000E0,3.311015099E-1,3.720501459E-1,8.137777600E-1,9.540879223E-1
2.316843000E0,3.944008353E-1,5.373866004E-1,1.081870551E0,1.270740047E0
2.326795000E0,3.452111337E-1,6.053417712E-1,1.220902137E0,1.405777868E0
2.336746000E0,1.563180014E-1,5.919411224E-1,1.289074824E0,1.427075160E0
2.346697000E0,-1.234613273E-1,4.566821605E-1,1.250410110E0,1.336909398E0
2.356649000E0,-4.124853963E-1,2.524061733E-1,1.229056664E0,1.320769988E0
2.366600000E0,-5.323816761E-1,1.643359959E-1,1.420626651E0,1.525980554E0
2.376551000E0,-5.272837812E-1,2.401498246E-1,1.610593624E0,1.711640134E0
2.386503000E0,-4.078541091E-1,7.231877249E-1,1.782797341E0,1.966649898E0
2.396454000E0,-5.059744808E-1,6.936744887E-1,1.564136034E0,1.784297062E0
2.406405000E0,-6.786953840E-1,5.261611158E-1,1.449068677E0,1.684420665E0
2.416356000E0,-7.156538799E-1,5.556573951E-1,1.486839352E0,1.741151020E0
2.426308000E0,-7.158927387E-1,7.353908640E-1,1.340567159E0,1.688319414E0
2.436259000E0,-7.153124025E-1,7.619179273E-1,1.282005832E0,1.654004146E0
2.446210000E0,-5.008172366E-1,8.480351347E-1,1.129575060E0,1.498639820E0
2.456162000E0,-3.415510690E-1,1.094485334E0,1.091802924E0,1.583221053E0
2.466113000E0,-2.898263070E-1,1.342716596E0,1.075700277E0,1.744711503E0
2.476064000E0,-3.090382111E-1,1.376773118E0,1.019321423E0,1.740696700E0
2.486015000E0,-5.620083484E-1,1.495795532E0,7.671965012E-1,1.772525918E0
2.495967000E0,-8.832812735E-1,1.447163070E0,5.294381878E-1,1.776167659E0
2.505918000E0,-9.064239684E-1,1.487401269E0,4.576568913E-1,1.800948854E0
2.515869000E0,-1.455378700E0,1.480697436E0,-1.079089031E-1,2.078998891E0
2.525821000E0,-1.703220829E0,1.270770700E0,-5.500221410E-1,2.195072600E0
2.535772000E0,-1.806537622E0,1.364797436E0,-8.008326092E-1,2.401579290E0
2.545723000E0,-1.818400745E0,1.404945588E0,-9.001177463E-1,2.467927335E0
2.555674000E0,-1.869082656E0,1.591712673E0,-9.689488301E-1,2.639295558E0
2.565626000E0,-2.153055608E0,1.340649605E0,-1.026141323E0,2.736047483E0
2.575577000E0,-2.647476283E0,8.586870074E-1,-1.412454290E0,3.121137800E0
2.585528000E0,-3.168988278E0,3.992484695E-1,-1.421340011E0,3.496011080E0
2.595480000E0,-3.791644239E0,-1.077174067E-1,-1.415400702E0,4.048645233E0
2.605431000E0,-4.487864021E0,-7.144666028E-1,-1.523751362E0,4.793037055E0
2.615382000E0,-5.034903497E0,-1.287473271E0,-1.329661517E0,5.364311736E0
2.625333000E0,-5.243397081E0,-1.554983972E0,-8.534174967E-1,5.535296697E0
2.635285000E0,-5.038484332E0,-1.310020720E0,-1.141990453E-1,5.207256482E0
2.645236000E0,-4.784883280E0,-1.015397065E0,6.948410082E-1,4.940540783E0
