"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.942413417E0,-7.301687157E-1,2.477192207E0,-9.983115005E-1,2.768799999E0
1.952365417E0,5.500928923E-2,2.660335187E0,-5.550820291E-1,2.718184208E0
1.962316292E0,9.017258768E-1,2.863377997E0,-7.618781662E-1,3.097176367E0
1.972267292E0,1.772636342E0,3.031358562E0,-8.902140248E-1,3.622686206E0
1.982219292E0,2.497727921E0,2.933825836E0,-7.693310273E-1,3.929102827E0
1.992170292E0,3.071217569E0,2.723133699E0,-6.225951505E-1,4.151561058E0
2.002121292E0,3.627135166E0,2.777278331E0,-5.819241842E-1,4.605216628E0
2.012073292E0,4.236332883E0,3.085143006E0,-6.139401019E-1,5.276508894E0
2.022024292E0,5.109409304E0,3.580618519E0,-1.263257028E0,6.365745104E0
2.031975292E0,6.610356233E0,4.043791673E0,2.320748929E-1,7.752607263E0
2.041927292E0,8.082862304E0,3.338696403E0,1.598325874E0,8.890118239E0
2.051878292E0,9.322019448E0,3.148250250E0,1.805891504E0,1.000363786E1
2.061829292E0,9.862905607E0,3.402070865E0,1.739097737E0,1.057711937E1
2.071781292E0,1.114399080E1,3.547799267E0,2.041376420E0,1.187192605E1
2.081732292E0,1.314670543E1,3.057482752E0,3.046223938E0,1.383703525E1
2.091683292E0,1.501114159E1,1.740496244E0,1.649513423E0,1.520146682E1
2.101635292E0,1.640275904E1,4.680672741E-1,-7.775720199E-1,1.642784859E1
2.111586292E0,1.774168605E1,-5.732773948E-1,-3.718242241E-1,1.775483946E1
2.121537292E0,1.825844075E1,-1.932756788E0,8.407465804E-1,1.837969157E1
2.131489292E0,1.773216795E1,-3.007905965E0,1.027940512E-3,1.798547413E1
2.141440292E0,1.796698863E1,-2.177141166E0,-1.664421630E-1,1.809918028E1
2.151391292E0,2.378686621E1,9.236928427E0,1.867134364E-1,2.551804680E1
2.161343292E0,2.845142636E1,2.139916271E1,-1.410361279E0,3.562859730E1
2.171294292E0,1.745937546E1,1.247151457E1,7.884188242E-1,2.147067934E1
2.181246292E0,6.447301946E0,3.510273591E0,5.764241323E0,9.333606007E0
2.191197292E0,-1.692886899E0,1.104728487E0,5.412090422E0,5.777284294E0
2.201148292E0,-3.049831086E0,2.838441376E0,-3.362125611E0,5.353700377E0
2.211100292E0,-6.399654740E0,3.081997204E-1,-5.584013765E0,8.498928026E0
2.221051292E0,-9.971266208E0,-1.569938226E0,1.467577454E0,1.020022742E1
2.231002292E0,-1.008920689E1,4.149558449E-1,4.401014450E0,1.101513559E1
2.240954292E0,-4.338736340E0,2.848503850E0,3.022998798E-1,5.199037645E0
2.250905292E0,7.361310484E-1,1.830158034E0,-3.584611436E-1,2.004959287E0
2.260856292E0,3.497455032E0,2.700448841E-1,9.312194518E-1,3.629364353E0
2.270808292E0,5.718272268E0,-3.961856979E-1,-3.155319826E-1,5.740658610E0
2.280759292E0,6.748982021E0,-7.471022522E-1,-1.069124790E0,6.873859754E0
2.290710292E0,6.436990966E0,-5.567309439E-1,-4.182503124E-1,6.474545186E0
2.300662292E0,4.700221737E0,1.593857431E-1,-9.184704021E-2,4.703820157E0
2.310613292E0,2.485252009E0,9.421922636E-1,-1.403138798E0,3.005495350E0
2.320564292E0,3.074188978E-1,8.465236294E-1,-2.263176513E0,2.435790747E0
2.330516292E0,-1.391963308E0,3.505633825E-1,-1.512340375E0,2.085097107E0
2.340467292E0,-2.153259530E0,1.047610545E-1,-7.161154445E-1,2.271634392E0
2.350418292E0,-2.021257905E0,3.488799691E-1,-6.493346138E-1,2.151473029E0
2.360370292E0,-1.560748596E0,5.046141261E-1,-7.199477828E-1,1.791339277E0
2.370321292E0,-9.934275406E-1,3.252408457E-1,-7.515040362E-1,1.287415319E0
2.380272292E0,-2.517661225E-1,-1.395671904E-2,-3.133672703E-1,4.022188665E-1
2.390224292E0,5.496948431E-1,-2.449375248E-1,-1.201179624E-1,6.136669590E-1
2.400175292E0,1.183340646E0,-2.897733897E-1,-2.535387059E-1,1.244405713E0
2.410126292E0,1.472379918E0,-1.192299896E-1,-3.545060138E-1,1.519142168E0
2.420078292E0,1.268698008E0,9.079907298E-2,-5.902376823E-1,1.402219537E0
2.430029292E0,7.748801811E-1,6.485673130E-2,-5.176983675E-1,9.341612764E-1
2.439980292E0,3.138042766E-1,-4.660113931E-2,-2.110948639E-1,3.810588298E-1
2.449932292E0,8.946576163E-2,-1.417704213E-1,-6.753526770E-2,1.807318102E-1
2.459883292E0,9.436719015E-2,-2.246605504E-1,2.208266772E-2,2.446736064E-1
2.469834292E0,1.850000560E-1,-5.875223815E-2,5.819609486E-2,2.026416336E-1
2.479786292E0,2.102731839E-2,2.875701588E-1,2.822182024E-1,4.034672950E-1
2.489737292E0,-4.104127045E-1,5.235398090E-1,7.753945899E-1,1.021650278E0
2.499688292E0,-9.817850764E-1,3.729751754E-1,7.627483050E-1,1.297997455E0
2.509640292E0,-1.311434430E0,1.265998203E-1,8.245907966E-1,1.554296549E0
2.519591292E0,-1.277217109E0,4.284371853E-2,9.272327471E-1,1.578885586E0
2.529542292E0,-1.044875802E0,1.540045506E-1,8.002605323E-1,1.325103680E0
2.539494292E0,-9.227375539E-1,2.063242668E-1,5.621805489E-1,1.100027848E0
2.549445292E0,-9.382442236E-1,1.034910393E-1,2.060021583E-1,9.661519071E-1
2.559396292E0,-9.758764650E-1,1.344859600E-5,5.392338820E-3,9.758913630E-1
2.569348292E0,-9.906669970E-1,-8.491852820E-2,-3.072559432E-1,1.040691342E0
2.579299292E0,-8.742134115E-1,2.844904304E-2,-3.923738615E-1,9.586530572E-1
2.589250292E0,-6.357610336E-1,3.247198588E-1,-4.718281667E-1,8.557201046E-1
2.599202292E0,-4.523251078E-1,5.545943713E-1,-6.326991391E-1,9.552387767E-1
2.609153292E0,-4.646925536E-1,8.666631943E-1,-6.874688387E-1,1.199857352E0
2.619104292E0,-8.916924933E-1,1.024264367E0,-6.023041062E-1,1.485598611E0
2.629056292E0,-1.595951612E0,9.888752639E-1,-4.503958189E-1,1.930749137E0
2.639007292E0,-2.191122736E0,1.327751817E0,-1.782804541E-1,2.568214876E0
2.648958292E0,-2.637057714E0,1.965381328E0,5.705712120E-2,3.289384846E0
2.658910292E0,-3.142280243E0,2.582835022E0,-7.691427469E-2,4.068276992E0
2.668861292E0,-3.642346697E0,3.074466575E0,1.339450926E-1,4.768330470E0
2.678812292E0,-4.106903888E0,3.302605634E0,-4.586731374E-2,5.270291010E0
2.688764292E0,-4.597653681E0,3.434581969E0,-9.629954875E-2,5.739690433E0
2.698715292E0,-5.143286902E0,3.608283450E0,-5.916039208E-2,6.283041426E0
2.708666292E0,-5.448967642E0,3.796401826E0,-5.983175111E-1,6.667975632E0
2.718618292E0,-5.534775531E0,4.365286793E0,-4.261135749E-1,7.061943199E0
2.728569292E0,-5.405215266E0,5.095555496E0,-3.019104552E-1,7.434526737E0
2.738520292E0,-5.609506456E0,5.317318751E0,-8.860595781E-1,7.779816383E0
2.748472292E0,-6.848416262E0,4.708276277E0,-1.909992993E0,8.527411332E0
2.758423292E0,-6.884191867E0,6.053210136E0,-2.317056851E0,9.455273823E0
2.768374292E0,-7.228918558E0,7.805717731E0,-3.286024684E0,1.113483054E1
2.778326292E0,-8.042872612E0,8.916022707E0,-4.605986840E0,1.286072998E1
2.788277292E0,-8.340996995E0,8.976328551E0,-6.130569384E0,1.370148116E1
2.798228292E0,-7.952334909E0,8.346351875E0,-6.487432557E0,1.322830304E1
2.808180292E0,-6.219349998E0,7.748471151E0,-6.089811367E0,1.165353689E1
2.818131292E0,-3.593322764E0,7.455844320E0,-5.597650056E0,9.991760063E0
2.828082292E0,-9.996937823E-1,7.040145294E0,-4.358278320E0,8.340121302E0
2.838034292E0,8.913144708E-1,6.065420877E0,-2.949934330E0,6.803373020E0
2.847985292E0,1.608097156E0,4.683380587E0,-2.419202007E0,5.511131330E0
2.857936292E0,7.872387099E-1,3.289157622E0,-2.338008740E0,4.111518882E0
2.867888292E0,-2.515527722E0,1.324005505E0,-1.585180017E0,3.254791236E0
2.877839292E0,-4.526555339E0,-2.669838667E-3,-1.049878826E0,4.646714529E0
2.887790292E0,-5.066867886E0,-3.539901432E-1,-2.129785151E0,5.507671376E0
2.897742292E0,-5.643015094E0,-6.062925285E-1,-3.649385283E0,6.747534582E0
2.907693292E0,-5.934667779E0,-4.773617157E-1,-3.935443937E0,7.136937357E0
2.917644292E0,-5.991682810E0,-1.030852425E0,-2.101898026E0,6.432798374E0
2.927596292E0,-5.559559540E0,-1.694188051E0,-6.667521536E-2,5.812350730E0
2.937547292E0,-4.927452723E0,-1.626482556E0,-5.386688948E-2,5.189232842E0
2.947498292E0,-4.561034031E0,-1.655005274E0,-7.684100908E-1,4.912486942E0
2.957450292E0,-4.527110240E0,-2.025052748E0,-1.657338313E0,5.228989964E0
2.967400750E0,-4.743658948E0,-2.547793828E0,-1.336609764E0,5.547979746E0
2.977351750E0,-4.816001285E0,-3.277881267E0,3.479192350E-1,5.836045045E0
2.987303750E0,-4.199986006E0,-3.291292441E0,1.324152855E0,5.497805850E0
2.997254750E0,-3.114474394E0,-2.717987564E0,4.626849121E-1,4.159505316E0
3.007205750E0,-2.408927134E0,-2.319201609E0,-8.817893565E-1,3.458204521E0
3.017157750E0,-1.929933752E0,-1.497366679E0,-1.015292253E-1,2.444802537E0
3.027108750E0,-2.435988048E0,-1.487048097E0,4.882167427E-1,2.895462899E0
3.037059750E0,-3.560747926E0,-2.481316833E0,-4.226455913E-1,4.360560550E0
3.047011750E0,-4.157074460E0,-3.191955264E0,-4.676732083E-1,5.261992465E0
3.056962750E0,-4.009724041E0,-3.205543023E0,-1.802059605E-1,5.136717546E0
